Q91G85,Viruses,"dsDNA viruses, no RNA stage",176652,1.0,85,0.0,0.0,0.0
Q6GZV1,Viruses,"dsDNA viruses, no RNA stage",654924,1.0,365,0.0,0.0,0.0
Q6GZU9,Viruses,"dsDNA viruses, no RNA stage",654924,0.7597938,970,13.81,0.52,0.0
Q6GZU1,Viruses,"dsDNA viruses, no RNA stage",654924,1.0,153,74.51,77.12,0.0
Q91G57,Viruses,"dsDNA viruses, no RNA stage",176652,1.0,122,3.28,0.0,0.0
Q6GZR1,Viruses,"dsDNA viruses, no RNA stage",654924,0.0631579,95,0.0,0.0,0.0
Q6GZQ0,Viruses,"dsDNA viruses, no RNA stage",654924,1.0,84,0.0,0.0,27.38
O55715,Viruses,"dsDNA viruses, no RNA stage",176652,1.0,165,43.64,20.61,12.73
Q196W8,Viruses,"dsDNA viruses, no RNA stage",345201,0.3684211,171,0.0,0.0,0.0
Q196V7,Viruses,"dsDNA viruses, no RNA stage",345201,1.0,60,15.0,0.0,0.0
P0C9K2,Viruses,"dsDNA viruses, no RNA stage",561445,1.0,120,0.0,0.0,0.0
P18560,Viruses,"dsDNA viruses, no RNA stage",10498,1.0,270,0.0,0.0,21.85
P0C9H0,Viruses,"dsDNA viruses, no RNA stage",561444,1.0,125,3.2,0.0,0.0
P68744,Viruses,"dsDNA viruses, no RNA stage",10498,1.0,118,0.85,50.0,0.0
P0C9H9,Viruses,"dsDNA viruses, no RNA stage",10500,1.0,118,3.39,0.0,0.0
Q196U1,Viruses,"dsDNA viruses, no RNA stage",345201,1.0,126,20.63,50.0,0.0
Q9U408,Eukaryota,Metazoa,6210,0.0614754,244,6.56,0.0,0.0
P49106,Eukaryota,Viridiplantae,4577,0.091954,261,7.66,0.0,0.0
Q4R572,Eukaryota,Metazoa,9541,0.0569106,246,23.17,0.0,0.0
P61983,Eukaryota,Metazoa,10116,0.048583,247,11.74,0.0,0.0
Q5ZMD1,Eukaryota,Metazoa,9031,0.0734694,245,4.49,0.0,0.0
Q8FVU0,Bacteria,Proteobacteria,204722,1.0,147,17.69,0.0,14.29
P46731,Bacteria,Actinobacteria,1764,0.1014493,138,17.39,0.0,0.0
P05080,Viruses,"ssRNA positive-strand viruses, no DNA stage",12298,0.6057411,1707,0.7,0.23,0.0
P23599,Eukaryota,Viridiplantae,3661,0.10344830000000001,493,6.29,0.0,0.0
Q00257,Eukaryota,Viridiplantae,3661,0.0315789,475,2.11,0.0,0.0
Q390Z5,Bacteria,Proteobacteria,482957,0.0088757,338,4.14,0.0,0.0
P16189,Eukaryota,Metazoa,9606,0.2356164,365,19.18,0.0,6.58
Q83943,Viruses,"ssRNA positive-strand viruses, no DNA stage",650489,0.5803965,908,1.65,0.44,0.0
P30461,Eukaryota,Metazoa,9606,0.179558,362,16.02,0.0,6.63
P30486,Eukaryota,Metazoa,9606,0.1823204,362,21.27,0.0,6.63
P30488,Eukaryota,Metazoa,9606,0.1823204,362,21.27,0.0,6.63
P30495,Eukaryota,Metazoa,9606,0.1823204,362,18.78,0.0,6.63
P30517,Eukaryota,Metazoa,9490,0.1890411,365,13.7,0.0,6.58
P30385,Eukaryota,Metazoa,9595,0.2377049,366,20.22,0.0,6.83
Q29963,Eukaryota,Metazoa,9606,0.2377049,366,19.67,0.0,6.83
P16215,Eukaryota,Metazoa,9598,0.1936416,346,20.23,0.0,6.94
Q70AT7,Eukaryota,Viridiplantae,4513,0.1185309,599,2.5,0.0,0.0
P22283,Eukaryota,Metazoa,10116,0.375,176,0.0,0.0,0.0
A4FV68,Eukaryota,Metazoa,9913,0.1798715,467,12.63,0.0,0.0
Q7ZX64,Eukaryota,Metazoa,8355,0.0178971,447,6.71,0.0,0.0
Q2FIF3,Bacteria,Firmicutes,367830,0.0056338,355,3.38,0.0,0.0
P80353,Eukaryota,Viridiplantae,13395,0.02,100,0.0,0.0,0.0
P0C9K8,Viruses,"dsDNA viruses, no RNA stage",561444,1.0,160,0.0,0.0,0.0
P23164,Viruses,"dsDNA viruses, no RNA stage",10498,1.0,363,0.0,0.0,0.0
P0C9L8,Viruses,"dsDNA viruses, no RNA stage",561444,1.0,360,0.0,0.0,0.0
P23166,Viruses,"dsDNA viruses, no RNA stage",10498,1.0,362,0.0,0.0,0.0
P23165,Viruses,"dsDNA viruses, no RNA stage",10498,1.0,356,0.0,0.0,0.0
P0C9N5,Viruses,"dsDNA viruses, no RNA stage",561445,1.0,376,0.0,0.0,0.0
P27364,Eukaryota,Metazoa,10116,0.0670241,373,5.9,0.0,5.63
P05147,Eukaryota,Fungi,227321,0.0522876,153,3.27,0.0,0.0
